Date,Open,High,Low,Close,Adj Close,Volume
2020-09-30,1.115781,1.115977,0.435865,0.436443,0.436443,6704237
2020-10-01,0.435000,0.538305,0.322736,0.415366,0.415366,4444223
2020-10-02,0.415188,0.551662,0.415188,0.506049,0.506049,3022650
2020-10-03,0.506091,0.721180,0.486243,0.666428,0.666428,5491573
2020-10-04,0.663841,0.693460,0.523043,0.553208,0.553208,3357916
2020-10-05,0.553208,0.554473,0.459442,0.459475,0.459475,1640031
2020-10-06,0.458480,0.551754,0.428900,0.498403,0.498403,3293826
2020-10-07,0.498810,0.569445,0.476623,0.541545,0.541545,1848695
2020-10-08,0.541661,0.576236,0.510725,0.565417,0.565417,2068536
2020-10-09,0.565417,0.719705,0.565417,0.694640,0.694640,3830462
2020-10-10,0.703928,0.878646,0.648330,0.789156,0.789156,6304081
2020-10-11,0.789104,0.943813,0.750946,0.942332,0.942332,4464543
2020-10-12,0.942333,1.174338,0.911649,1.109943,1.109943,8643384
2020-10-13,1.115521,1.147441,0.822690,0.845009,0.845009,11452877
2020-10-14,0.846947,0.949941,0.741826,0.889186,0.889186,7619517
2020-10-15,0.889214,0.916459,0.801206,0.880911,0.880911,4465895
2020-10-16,0.880889,0.924716,0.799957,0.813258,0.813258,4244192
2020-10-17,0.813258,0.821151,0.608632,0.608648,0.608648,3314454
2020-10-18,0.608575,0.628710,0.533637,0.610286,0.610286,3624614
2020-10-19,0.610286,0.736735,0.570393,0.610650,0.610650,3474701
2020-10-20,0.610651,0.648889,0.565066,0.619787,0.619787,3139394
2020-10-21,0.619916,0.637697,0.566803,0.576505,0.576505,3791404
2020-10-22,0.576505,0.640501,0.575538,0.613140,0.613140,2954702
2020-10-23,0.613108,0.663195,0.600797,0.657180,0.657180,3757709
2020-10-24,0.657167,0.659926,0.581384,0.586126,0.586126,2665091
2020-10-25,0.586123,0.590252,0.481017,0.484323,0.484323,4156325
2020-10-26,0.484319,0.484488,0.328158,0.440314,0.440314,7268615
2020-10-27,0.440324,0.525532,0.436739,0.450007,0.450007,3892630
2020-10-28,0.450001,0.450001,0.371582,0.403638,0.403638,3376056
2020-10-29,0.403629,0.465708,0.400817,0.410390,0.410390,2505692
2020-10-30,0.410386,0.425452,0.354077,0.398318,0.398318,2230014
2020-10-31,0.398321,0.419524,0.389787,0.397758,0.397758,1045710
2020-11-01,0.397754,0.398984,0.360796,0.365432,0.365432,1008081
2020-11-02,0.365438,0.384332,0.313068,0.324881,0.324881,2586877
2020-11-03,0.324889,0.324889,0.198003,0.281329,0.281329,5341227
2020-11-04,0.281332,0.295206,0.249216,0.283869,0.283869,1622014
2020-11-05,0.283874,0.290323,0.223491,0.280023,0.280023,363095
2020-11-06,0.280021,0.331910,0.278143,0.295154,0.295154,404463
2020-11-07,0.295155,0.316949,0.248773,0.260400,0.260400,377904
2020-11-08,0.260402,0.263039,0.243439,0.250414,0.250414,181213
2020-11-09,0.250420,0.250489,0.205724,0.222772,0.222772,555978
2020-11-10,0.222766,0.250363,0.210187,0.236896,0.236896,320819
2020-11-11,0.236887,0.260491,0.232252,0.232370,0.232370,337060
2020-11-12,0.232369,0.258281,0.224063,0.231867,0.231867,361361
2020-11-13,0.231877,0.276504,0.230175,0.265788,0.265788,693224
2020-11-14,0.265787,0.265788,0.243774,0.259194,0.259194,436856
2020-11-15,0.259201,0.288569,0.257578,0.271065,0.271065,544394
2020-11-16,0.271065,0.323457,0.263253,0.297890,0.297890,1133390
2020-11-17,0.318389,0.361511,0.311625,0.357296,0.357296,1413538
2020-11-18,0.357305,0.372119,0.294920,0.312130,0.312130,893822
2020-11-19,0.312149,0.364701,0.307863,0.345190,0.345190,822031
2020-11-20,0.345185,0.389010,0.312703,0.342145,0.342145,1068053
2020-11-21,0.342135,0.360360,0.333837,0.339976,0.339976,478970
2020-11-22,0.339980,0.348542,0.308006,0.332849,0.332849,448415
2020-11-23,0.332837,0.336951,0.306802,0.322300,0.322300,362520
2020-11-24,0.323521,0.342920,0.306850,0.321772,0.321772,354204
2020-11-25,0.321853,0.338290,0.292126,0.301515,0.301515,233424
2020-11-26,0.300946,0.311171,0.258013,0.283675,0.283675,384331
2020-11-27,0.283587,0.335933,0.279817,0.334042,0.334042,600723
2020-11-28,0.334050,0.348731,0.317194,0.328289,0.328289,472896
2020-11-29,0.328287,0.359229,0.314114,0.338810,0.338810,415901
2020-11-30,0.338803,0.354867,0.328067,0.349490,0.349490,369411
2020-12-01,0.349463,0.367041,0.331428,0.356201,0.356201,498913
2020-12-02,0.356105,0.377015,0.352142,0.368302,0.368302,510077
